[[Items	430	
		0	0	0	0	2	0
iron armour	suits of iron armour	2	5	1	1	2	0
tortoise shell	tortoise shells	1	1	1	1	2	0
full plate armour	suits of full plate armour	2	5	1	1	2	0
silver cuirass	silver cuirasses	1	1	1	1	2	0
dancer's mail	suits of dancer's mail	2	5	1	1	2	0
silver mail	suits of silver mail	2	5	1	1	2	0
dragon mail	suits of dragon mail	2	5	1	1	2	0
magic armour	suits of magic armour	2	5	1	1	2	0
zombie mail	suits of zombie mail	2	5	1	1	2	0
heavy armour	suits of heavy armour	2	5	1	1	2	0
spiked armour	suits of spiked armour	2	5	1	1	2	0
platinum mail	suits of platinum mail	2	5	1	1	2	0
bandit mail	suits of bandit mail	2	5	1	1	2	0
sacred armour	suits of sacred armour	2	5	1	1	2	0
gigant armour	suits of gigant armour	2	5	1	1	2	0
mirror armour	suits of mirror armour	2	5	1	1	2	0
liquid metal armour	suits of liquid metal armour	2	5	1	1	2	0
Dragovian armour	suits of Dragovian armour	2	5	1	1	2	0
metal king armour	suits of metal king armour	2	5	1	1	2	0
silk robe	silk robes	1	1	1	1	2	0
leather cape	leather capes	1	1	1	1	2	0
robe of serenity	robes of serenity	1	1	1	1	2	0
magic vestment	magic vestments	1	1	1	1	2	0
flowing dress	flowing dresses	1	1	1	1	2	0
sage's robe	sage's robes	1	1	1	1	2	0
angel's robe	angel's robes	1	2	1	1	2	0
velvet cape	velvet capes	1	1	1	1	2	0
crimson robe	crimson robes	1	1	1	1	2	0
princess's robe	princess's robes	1	1	1	1	2	0
dragon robe	dragon robes	1	1	1	1	2	0
pot lid	pot lids	1	1	1	1	2	0
leather shield	leather shields	1	1	1	1	2	0
scale shield	scale shields	1	1	1	1	2	0
silver platter	silver platters	1	1	1	1	2	0
kitty shield	kitty shields	1	1	1	1	2	0
bronze shield	bronze shields	1	1	1	1	2	0
Templar's shield	Templar's shields	1	1	1	1	2	0
iron shield	iron shields	1	2	1	1	2	0
light shield	light shields	1	1	1	1	2	0
white shield	white shields	1	1	1	1	2	0
steel shield	steel shields	1	1	1	1	2	0
magic shield	magic shields	1	1	1	1	2	0
dragon shield	dragon shields	1	1	1	1	2	0
power shield	power shields	1	1	1	1	2	0
saintess shield	saintess shields	1	1	1	1	2	0
bone shield	bone shields	1	1	1	1	2	0
mirror shield	mirror shields	1	1	1	1	2	0
ogre shield	ogre shields	1	2	1	1	2	0
silver shield	silver shields	1	1	1	1	2	0
big boss shield	big boss shields	1	1	1	1	2	0
ruinous shield	ruinous shields	1	1	1	1	2	0
Thanatos' shield	Thanatos' shields	1	1	1	1	2	0
goddess shield	goddess shields	1	1	1	1	2	0
Dragovian shield	Dragovian shields	1	1	1	1	2	0
metal king shield	metal king shields	1	1	1	1	2	0
bandana	bandanas	1	1	1	1	2	0
leather hat	leather hats	1	1	1	1	2	0
hairband	hairbands	1	1	1	1	2	0
pointy hat	pointy hats	1	1	1	1	2	0
feathered cap	feathered caps	1	1	1	1	2	0
turban	turbans	1	1	1	1	2	0
silver tiara	silver tiaras	1	1	1	1	2	0
bunny ears	sets of bunny ears	1	3	1	1	2	1
stone hardhat	stone hardhats	1	1	1	1	2	0
iron helmet	iron helmets	1	2	1	1	2	0
fur hood	fur hoods	1	1	1	1	2	0
bronze helmet	bronze helmets	1	1	1	1	2	0
coral hairpin	coral hairpins	1	1	1	1	2	0
pirate's hat	pirate's hats	1	1	1	1	2	0
iron mask	iron masks	1	2	1	1	2	0
Hermes' hat	Hermes' hats	1	1	1	1	2	0
platinum headgear	sets of platinum headgear	1	1	1	1	2	0
magical hat	magical hats	1	1	1	1	2	0
happy hat	happy hats	1	1	1	1	2	0
Hades' helm	Hades' helms	1	1	1	1	2	0
slime crown	slime crowns	1	1	1	1	2	0
mythril helm	mythril helms	1	1	1	1	2	0
Mercury's bandana	Mercury's bandanas	1	1	1	1	2	0
scholar's cap	scholar's caps	1	1	1	1	2	0
thinking cap	thinking caps	1	1	1	1	2	0
iron headgear	sets of iron headgear	1	2	1	1	2	0
raging bull helm	raging bull helms	1	1	1	1	2	0
golden tiara	golden tiaras	1	1	1	1	2	0
great helm	great helms	1	1	1	1	2	0
phantom mask	phantom masks	1	1	1	1	2	0
skull helm	skull helms	1	1	1	1	2	0
Dragovian helm	Dragovian helms	1	1	1	1	2	0
sun crown	sun crowns	1	1	1	1	2	0
metal king helm	metal king helms	1	1	1	1	2	0
agility ring	agility rings	1	2	1	1	2	0
meteorite bracer	meteorite bracers	1	1	1	1	2	0
strength ring	strength rings	1	1	1	1	2	0
gold ring	gold rings	1	1	1	1	2	0
prayer ring	prayer rings	1	1	1	1	2	0
recovery ring	recovery rings	1	1	1	1	2	0
goddess ring	goddess rings	1	1	1	1	2	0
gospel ring	gospel rings	1	1	1	1	2	0
life bracer	life bracers	1	1	1	1	2	0
mighty armlet	mighty armlets	1	1	1	1	2	0
gold bracer	gold bracers	1	1	1	1	2	0
ruby of protection	rubies of protection	1	1	1	1	2	0
titan belt	titan belts	1	1	1	1	2	0
scholar's specs	pairs of scholar's specs	3	4	1	1	2	1
tough guy tattoo	tough guy tattoos	1	1	1	1	2	0
slime earrings	pairs of slime earrings	3	4	1	1	2	1
devil's tail	devil's tails	1	1	1	1	2	0
fishnet stockings	pairs of fishnet stockings	3	4	1	1	2	1
garter	garters	1	1	1	1	2	0
lady's ring	lady's rings	1	1	1	1	2	0
gold rosary	gold rosaries	1	1	1	1	2	0
sorcerer's ring	sorcerer's rings	1	1	1	1	2	0
skull ring	skull rings	1	1	1	1	2	0
holy talisman	holy talismans	1	1	1	1	2	0
ring of awakening	rings of awakening	1	1	1	1	2	0
full moon ring	full moon rings	1	1	1	1	2	0
ring of clarity	rings of clarity	1	1	1	1	2	0
ring of truth	rings of truth	1	1	1	1	2	0
ring of immunity	rings of immunity	1	1	1	1	2	0
catholicon ring	catholicon rings	1	1	1	1	2	0
dragon scale	dragon scales	1	1	1	1	2	0
elevating shoes	pairs of elevating shoes	3	4	1	1	2	1
medicinal herb	medicinal herbs	1	1	1	1	2	0
antidotal herb	antidotal herbs	1	2	1	1	2	0
moonwort bulb	moonwort bulbs	1	1	1	1	2	0
strong medicine	strong medicines	1	1	1	1	2	0
special medicine	special medicines	1	1	1	1	2	0
lesser panacea	lesser panaceas	1	1	1	1	2	0
greater panacea	greater panaceas	1	1	1	1	2	0
rose<->root	bunches of rose<->root	1	6	1	1	2	0
rose<->wort	bunches of rose<->wort	1	6	1	1	2	0
strong antidote	strong antidotes	1	1	1	1	2	0
special antidote	special antidotes	1	1	1	1	2	0
moon's mercy	moon's mercies	1	1	1	1	2	0
mystifying mixture	mystifying mixtures	1	1	1	1	2	0
Yggdrasil leaf	Yggdrasil leaves	1	2	1	1	2	0
Yggdrasil dew	phials of Yggdrasil dew	1	7	1	1	2	0
amor seco essence	phials of amor seco essence	1	7	1	1	2	0
chimaera wing	chimaera wings	1	1	1	1	2	0
holy water	phials of holy water	1	7	1	1	2	0
magic water	phials of magic water	1	7	1	1	2	0
elfin elixir	elfin elixirs	1	2	1	1	2	0
rockbomb shard	rockbomb shards	1	1	1	1	2	0
sage's stone	sage's stones	1	1	1	1	2	0
seed of strength	seeds of strength	1	1	1	1	2	0
seed of agility	seeds of agility	1	1	1	1	2	0
seed of defence	seeds of defence	1	1	1	1	2	0
seed of wisdom	seeds of wisdom	1	1	1	1	2	0
seed of skill	seeds of skill	1	1	1	1	2	0
seed of life	seeds of life	1	1	1	1	2	0
seed of magic	seeds of magic	1	1	1	1	2	0
mini medal	mini medals	1	1	1	1	2	0
thief's key	thief's keys	1	1	1	1	2	0
magic key	magic keys	1	8	1	1	2	0
ultimate key	ultimate keys	1	8	1	1	2	0
orichalcum	pieces of orichalcum	1	9	1	1	2	0
bunny tail	bunny tails	1	1	1	1	2	0
timbrel of tension	timbrels of tension	1	1	1	1	2	0
Baumren's bell	Baumren's bells	0	0	1	1	2	0
gold nugget	gold nuggets	1	1	1	1	2	0
iron nail	iron nails	1	2	1	1	2	0
cowpat	cowpats	1	1	1	1	2	0
dragon dung	pieces of dragon dung	1	9	1	1	2	0
rock salt	pieces of rock salt	1	9	1	1	2	0
saint's ashes	urns of saints' ashes	1	10	1	1	2	0
wing of bat	wings of bat	1	1	1	1	2	0
magic beast hide	magic beast hides	1	1	1	1	2	0
fresh milk	bottles of fresh milk	4	11	1	1	2	0
rennet powder	bags of rennet powder	1	12	1	1	2	0
red mould	pieces of red mould	1	9	1	1	2	0
waterweed mould	pieces of waterweed mould	1	9	1	1	2	0
premium mould	pieces of premium mould	1	9	1	1	2	0
plain cheese	pieces of plain cheese	1	9	1	1	2	0
spicy cheese	pieces of spicy cheese	1	9	1	1	2	0
super spicy cheese	pieces of super spicy cheese	1	9	1	1	2	0
scorching cheese	pieces of scorching cheese	1	9	1	1	2	0
cool cheese	pieces of cool cheese	1	9	1	1	2	0
chilly cheese	pieces of chilly cheese	1	9	1	1	2	0
cold cheese	pieces of cold cheese	1	9	1	1	2	0
c-c-cold cheese	pieces of c-c-cold cheese	1	9	1	1	2	0
double bubble	double bubbles	1	1	1	1	2	0
eau de monster	bottles of eau de monster	1	11	1	1	2	0
super seed of skill	super seeds of skill	1	1	1	1	2	0
mild cheese	pieces of mild cheese	1	9	1	1	2	0
cured cheese	pieces of cured cheese	1	9	1	1	2	0
angel cheese	pieces of angel cheese	1	9	1	1	2	0
hard cheese	pieces of hard cheese	1	9	1	1	2	0
soft cheese	pieces of soft cheese	1	9	1	1	2	0
chunky cheese	pieces of chunky cheese	1	9	1	1	2	0
highly strung cheese	pieces of highly strung cheese	1	9	1	1	2	0
crystal ball	crystal balls	1	1	1	1	2	0
tool bag	tool bags	1	1	1	1	2	0
Jessica's letter	Jessica's letters	0	0	0	1	2	0
Templar's ring	Templar's rings	1	1	1	1	2	0
world map	world maps	1	1	1	1	2	0
Venus' tear	Venus' tears	1	8	1	1	2	0
Moonshadow harp	Moonshadow harps	1	8	1	1	2	0
sand of serenity	sands of serenity	1	13	1	1	2	0
lizard humour	lizard humours	1	1	1	1	2	0
Argon heart	Argon hearts	1	2	1	1	2	0
great big Argon heart	great big Argon hearts	1	1	1	1	2	0
magic mirror	magic mirrors	1	8	1	1	2	0
sun mirror	sun mirrors	1	8	1	1	2	0
stone sword	stone swords	1	1	1	1	2	0
Kran Spinels	Krans Spinels	1	8	1	1	2	1
‘The Big Book of Barriers’	‘The Big Books of Barriers’	0	0	0	0	2	0
Marta's bag	Marta's bags	0	0	0	1	2	0
illuminated sea chart	illuminated sea charts	1	2	1	1	2	0
nook grass	nook grasses	1	6	1	1	2	0
Godbird's soulstone	Godbird's soulstones	1	8	1	1	2	0
Darktree leaf	Darktree leaves	1	8	1	1	2	0
Templar Captain's ring	Templar Captain's rings	1	1	1	1	2	0
Argon ring	Argon rings	1	2	1	1	2	0
echo flute	echo flutes	1	2	1	1	2	0
Eros' bow recipe	Eros' bow recipes	1	2	1	1	2	0
imp knife recipe	imp knife recipes	1	2	1	1	2	0
dragon slayer recipe	dragon slayer recipes	1	1	1	1	2	0
thief's key recipe	thief's key recipes	1	1	1	1	2	0
Morrie's memo #1	Morrie's memo #1s	0	0	1	1	2	0
Morrie's memo #2	Morrie's memo #2s	0	0	1	1	2	0
Morrie's memo #3	Morrie's memo #3s	0	0	1	1	2	0
Monster Arena key	Monster Arena keys	1	1	1	1	2	0
Godbird Sceptre	Godbird Sceptres	1	1	1	1	2	0
gold orb	gold orbs	1	1	1	1	2	0
silver orb	silver orbs	1	1	1	1	2	0
red orb	red orbs	1	1	1	1	2	0
blue orb	blue orbs	1	1	1	1	2	0
green orb	green orbs	1	1	1	1	2	0
yellow orb	yellow orbs	1	1	1	1	2	0
purple orb	purple orbs	1	1	1	1	2	0
copper monster coin	copper monster coins	1	1	1	1	2	0
silver monster coin	silver monster coins	1	1	1	1	2	0
gold monster coin	gold monster coins	1	1	1	1	2	0
flame shield	flame shields	1	1	1	1	2	0
ice shield	ice shields	1	2	1	1	2	0
Erdrick's sword	Erdrick's swords	0	0	0	0	2	0
demonsbane	demonsbanes	1	1	1	1	2	0
dread dagger	dread daggers	1	1	1	1	2	0
golden gar	golden gars	1	1	1	1	2	0
black buzzard	black buzzards	1	1	1	1	2	0
bad axe	bad axes	1	1	1	1	2	0
candy cane	candy canes	1	1	1	1	2	0
honking hammer	honking hammers	1	1	1	1	2	0
wizardly whip	wizardly whips	1	1	1	1	2	0
slime stick	slime sticks	1	1	1	1	2	0
night sniper	night snipers	1	1	1	1	2	0
iron claw	iron claws	1	2	1	1	2	0
fire claw	fire claws	1	1	1	1	2	0
cobra claw	cobra claws	1	1	1	1	2	0
king cobra claw	king cobra claws	1	1	1	1	2	0
beast claw	beast claws	1	1	1	1	2	0
beast talon	beast talons	1	1	1	1	2	0
dragon claw	dragon claws	1	1	1	1	2	0
dragonlord claw	dragonlord claws	1	1	1	1	2	0
orichalcum claw	orichalcum claws	1	2	1	1	2	0
gryphon talon	gryphon talons	1	1	1	1	2	0
iron fan	iron fans	1	2	1	1	2	0
peacock fan	peacock fans	1	1	1	1	2	0
rainbow fan	rainbow fans	1	1	1	1	2	0
stellar fan	stellar fans	1	1	1	1	2	0
lunar fan	lunar fans	1	1	1	1	2	0
solar fan	solar fans	1	1	1	1	2	0
dryspell fan	dryspell fans	1	1	1	1	2	0
kaleidoscope	kaleidoscopes	1	1	1	1	2	0
fan of peace	fans of peace	1	1	1	1	2	0
big bad boss shield	big bad boss shields	1	1	1	1	2	0
gothic mitre	gothic mitres	1	1	1	1	2	0
dogsbody's hood	dogsbody's hoods	1	1	1	1	2	0
hexlet's hat	hexlets' hats	1	1	1	1	2	0
kunoichi headband	kunoichi headbands	1	1	1	1	2	0
mad cap	mad caps	1	1	1	1	2	0
gothic vestment	gothic vestments	1	1	1	1	2	0
dogsbody's vest	dogsbody's vests	1	1	1	1	2	0
nitid tutu	nitid tutus	1	1	1	1	2	0
hexlet's skirt	hexlets' skirts	1	1	1	1	2	0
abiding blazer	abiding blazers	1	2	1	1	2	0
oriental warrior wear	sets of oriental warrior wear	1	3	1	1	2	0
butler's best	butlers' bests	1	1	1	1	2	0
jester's outfit	jesters' outfits	1	1	1	1	2	0
cap'n's clothes	sets of cap'n's clothes	1	3	1	1	2	1
mandarin dress	mandarin dresses	1	1	1	1	2	0
kunoichi costume	kunoichi costumes	1	1	1	1	2	0
über sacred armour	suits of über sacred armour	2	5	1	1	2	0
white gold bell	white gold bells	1	1	1	1	2	0
darksteel bell	darksteel bells	1	1	1	1	2	0
ethereal stone	ethereal stones	1	2	1	1	2	0
Alistair's armour	sets of Alistair's armour	0	0	1	1	2	0
metal slime earrings	pairs of metal slime earrings	3	4	1	1	2	1
fire dragon charm	fire dragon charms	1	1	1	1	2	0
light dragon charm	light dragon charms	1	1	1	1	2	0
lord's bracer	lord's bracers	1	1	1	1	2	0
super double bubble	super double bubbles	1	1	1	1	2	0
super seed of agility	super seeds of agility	1	1	1	1	2	0
super seed of defence	super seeds of defence	1	1	1	1	2	0
super seed of strength	super seeds of strength	1	1	1	1	2	0
super seed of wisdom	super seeds of wisdom	1	1	1	1	2	0
super seed of magic	super seeds of magic	1	1	1	1	2	0
super seed of life	super seeds of life	1	1	1	1	2	0
metal slime platter	metal slime platters	1	1	1	1	2	0
healie hat	healie hats	1	1	1	1	2	0
healie t-shirt	healie t-shirts	1	1	1	1	2	0
hearty ring	hearty rings	1	1	1	1	2	0
lucky pendant	lucky pendants	1	1	1	1	2	0
golden slippers	pairs of golden slippers	3	4	1	1	2	1
Ye Olde Sword of Erdrick	Ye Olde Swords of Erdrick	0	0	0	0	2	0
[[Monsters	533	
    	    	0	0	0	0	2	0
slime	slimes	1	1	1	1	2	0
candy cat	candy cats	1	1	1	1	2	0
lips	lips	1	1	1	1	2	0
dracky	drackies	1	1	1	1	2	0
satyr	satyrs	1	1	1	1	0	0
capsichum	capsichums	1	1	1	1	2	0
bunicorn	bunicorns	1	1	1	1	2	0
she<->slime	she<->slimes	1	1	1	1	1	0
mischievous mole	mischievous moles	1	1	1	1	0	0
mecha<->mynah	mecha<->mynahs	1	1	1	1	2	0
bubble slime	bubble slimes	1	1	1	1	2	0
dancing devil	dancing devils	1	1	1	1	2	0
bodkin archer	bodkin archers	1	1	1	1	0	0
skipper	skippers	1	1	1	1	2	0
drackmage	drackmages	1	1	1	1	2	0
beetleboy	beetleboys	1	1	1	1	0	0
imp	imps	1	2	1	1	2	0
funghoul	funghouls	1	1	1	1	2	0
fencing fox	fencing foxes	1	1	1	1	2	0
healslime	healslimes	1	1	1	1	2	0
hammerhood	hammerhoods	1	1	1	1	2	0
jailcat	jailcats	1	1	1	1	2	0
frogface	frogfaces	1	1	1	1	2	0
lump mage	lump mages	1	1	1	1	2	0
winky	winkies	1	1	1	1	2	0
spiked hare	spiked hares	1	1	1	1	2	0
chainine	chainines	1	1	1	1	2	0
giant moth	giant moths	1	1	1	1	2	0
dingaling	dingalings	1	1	1	1	2	0
jargon	jargons	1	1	1	1	2	0
drackyma	drackymas	1	1	1	1	1	0
bullfinch	bullfinches	1	1	1	1	2	0
bag o' laughs	bags o' laughs	1	1	1	1	2	0
skeleton	skeletons	1	1	1	1	2	0
metal slime	metal slimes	1	1	1	1	2	0
scorpion	scorpions	1	1	1	1	2	0
Morphean mushroom	Morphean mushrooms	1	1	1	1	2	0
brownie	brownies	1	1	1	1	2	0
flyguy	flyguys	1	1	1	1	0	0
puppeteer	puppeteers	1	1	1	1	0	0
bodkin bowyer	bodkin bowyers	1	1	1	1	2	0
night sneaker	night sneakers	1	1	1	1	2	0
mummy boy	mummy boys	1	1	1	1	0	0
hell hornet	hell hornets	1	1	1	1	2	0
pan piper	pan pipers	1	1	1	1	0	0
slime knight	slime knights	1	1	1	1	0	0
clockwork cuckoo	clockwork cuckoos	1	1	1	1	2	0
treeface	treefaces	1	1	1	1	2	0
kisser	kissers	1	1	1	1	2	0
diemon	diemons	1	1	1	1	2	0
walking corpse	walking corpses	1	1	1	1	0	0
fat bat	fat bats	1	1	1	1	2	0
night fox	night foxes	1	1	1	1	2	0
paprikan	paprikans	1	1	1	1	2	0
chimaera	chimaeras	1	1	1	1	2	0
hood	hoods	1	1	1	1	0	0
headhunter	headhunters	1	1	1	1	2	0
minidemon	minidemons	1	1	1	1	2	0
gorerilla	gorerillas	1	1	1	1	2	0
mud mannequin	mud mannequins	1	1	1	1	2	0
cannibox	canniboxes	1	1	1	1	2	0
goodybag	goodybags	1	1	1	1	2	0
witch	witches	1	1	1	1	1	0
mummy	mummies	1	1	1	1	2	0
cureslime	cureslimes	1	1	1	1	2	0
restless armour	restless armours	1	1	1	1	2	0
phantom fencer	phantom fencers	1	1	1	1	2	0
hipster	hipsters	1	1	1	1	0	0
rockbomb	rockbombs	1	1	1	1	2	0
dieablo	dieablos	1	1	1	1	2	0
muddy hand	muddy hands	1	1	1	1	2	0
terror tabby	terror tabbies	1	1	1	1	2	0
devilmoth	devilmoths	1	1	1	1	2	0
buffalo wing	buffalo wings	1	1	1	1	2	0
mumboh<->jumboe	mumboh<->jumboes	1	1	1	1	2	0
hunter mech	hunter mechs	1	1	1	1	2	0
pink pongo	pink pongos	1	1	1	1	2	0
liquid metal slime	liquid metal slimes	1	1	1	1	2	0
mad mole	mad moles	1	1	1	1	2	0
wailin' weed	wailin' weeds	1	1	1	1	2	0
garuda	garudas	1	1	1	1	2	0
infernal armour	infernal armours	1	2	1	1	2	0
dragonthorn	dragonthorns	1	1	1	1	2	0
mars rover	mars rovers	1	1	1	1	2	0
peeper	peepers	1	1	1	1	2	0
cockateer	cockateers	1	1	1	1	2	0
great sabrecat	great sabrecats	1	1	1	1	2	0
metal slime knight	metal slime knights	1	1	1	1	0	0
puppet player	puppet players	1	1	1	1	0	0
spitnik	spitniks	1	1	1	1	2	0
bodkin fletcher	bodkin fletchers	1	1	1	1	2	0
venom wasp	venom wasps	1	1	1	1	2	0
orc	orcs	1	2	1	1	2	0
night emperor	night emperors	1	1	1	1	2	0
treevil	treevils	1	1	1	1	2	0
battle beetle	battle beetles	1	1	1	1	0	0
lump shaman	lump shamans	1	1	1	1	2	0
skeleton soldier	skeleton soldiers	1	1	1	1	0	0
hawk man	hawk men	1	1	1	1	0	0
tap devil	tap devils	1	1	1	1	2	0
mushroom mage	mushroom mages	1	1	1	1	2	0
redtail hipster	redtail hipsters	1	1	1	1	0	0
jumping jackal	jumping jackals	1	1	1	1	0	0
gold golem	gold golems	1	1	1	1	0	0
king slime	king slimes	1	1	1	1	0	0
iron scorpion	iron scorpions	1	2	1	1	2	0
toxic zombie	toxic zombies	1	1	1	1	0	0
lesser demon	lesser demons	1	1	1	1	2	0
Volpone	Volpones	1	1	1	1	2	0
bomboulder	bomboulders	1	1	1	1	2	0
skullrider	skullriders	1	1	1	1	2	0
Hades condor	Hades condors	1	1	1	1	2	0
frogman	frogmen	1	1	1	1	0	0
mimic	mimics	1	1	1	1	2	0
magic dumbbell	magic dumbbells	1	1	1	1	2	0
gargoyle	gargoyles	1	1	1	1	0	0
magic marionette	magic marionettes	1	1	1	1	0	0
notso macho	notso machos	1	1	1	1	2	0
lump wizard	lump wizards	1	1	1	1	0	0
berserker	berserkers	1	1	1	1	2	0
bulldozer	bulldozers	1	1	1	1	2	0
ghoul	ghouls	1	1	1	1	0	0
shade	shades	1	1	1	1	2	0
lethal armour	lethal armours	1	1	1	1	2	0
